"","site","month","n.obs","X","lat","lon","ele_m","garden_area_m2","num_of_gardenplots","percent_dev_2km","percent_dev_200m","percent_dev_1km","percent_dev_500m","crop_pasture_2km","crop_pasture_200m","crop_pasture_500m","area_km2","country_code","Population.to.polygon.size.rating.for.the.country","Apportionment.confidence.for.the.country","Has.data","pop_den_2022","pop_tot_2022","med_networth_2022","med_houseincome_2022","med_dispincome_2022","tot_households_2022","wealth_index_2022","diversity_index_2022","tot_housingunits_2022","homeowners_growthRate_22_27","renter_hh_2020","tot_businesses_2022","poverty_index_2020","crime_index_2022","renter_occ_Hus_2022","med_age_2022","med_homevalue_2022","mean_homevalue_2022","pop_BA_2022","pop_gradDegree_2022","imp200m","imp500m","imp1km","imp1.5km","imp2km","n.obs.herb","n.obs.pred","n.obs.pol","bee.rare.richness","bee.shannon","bee.simpson","scaled_wealth_index_2022"
"1","Foothills","August",155,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,9,6,35,7,4.29637363881851,3.16901408450704,-0.161871273035703
"2","Foothills","July",187,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,27,10,79,12,5.36083976017927,3.91327913279133,-0.161871273035703
"3","Foothills","June",375,1,40.0547453,-105.28676,1692,3426.24,46,13.47883,28.64789,28.96302,30.13758,0.37958454,11.45916,5.729578,3.01559595,"US",2.191,2.576,1,4053.9,4720,215783,93879,76847,1883,163,69.3,2080,0.38,543,241,61.83,54,582,39.6,676262,677248,1028,1076,30.8461538461538,27.958110516934,25.4961555857078,20.4439,15.7138368308832,28,30,10,6,5.74234749205346,5.44444444444444,-0.161871273035703
"4","Fortune","August",78,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,9,2,57,9,4.81669776632179,3.73333333333333,-1.26861904681469
"5","Fortune","July",116,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,3,8,95,13,5.5600527780777,4.09453197405005,-1.26861904681469
"6","Fortune","June",124,2,40.0152236,-105.29005,1642,336.88,18,17.42508,30.796481,22.34535,18.22006,0,0,0,3.01559595,"US",2.191,2.576,1,4504.8,5245,51732,73146,59999,2449,121,32.2,2680,1.1,1567,939,157.4,171,1538,31.4,1191225,1303540,1408,1244,37.456043956044,26.3912655971479,25.0612844866576,23.9347,21.2636067781394,31,7,15,5,4.50320012840204,4.16666666666667,-1.26861904681469
"7","Hawthorne","August",110,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,18,4,49,7,2.9342679699201,1.94283201407212,1.73541062487114
"8","Hawthorne","July",193,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,14,4,129,14,3.85329790911916,2.16885245901639,1.73541062487114
"9","Hawthorne","June",124,3,40.0333295,-105.27708,1644,18238.58,200,30.78932,2.864789,17.99087,20.28271,0.02864789,0,0,3.01559595,"US",2.191,2.576,1,5343,6221,601239,133830,104588,2543,235,36.1,2662,-0.09,598,259,63.03,66,632,42.1,964030,1118969,1659,2202,22.6758241758242,34.3484848484849,33.305065581185,33.1763,33.9018628661205,25,32,8,5,5,5,1.73541062487114
"10","Hickory","August",108,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,14,4,25,8,5.33564051851863,4.04587155963303,-0.899703122221697
"11","Hickory","July",82,4,40.0015955,-105.23297,1610,2736.12,28,36.54755,20.053523,26.67119,39.64868,5.14229621,0,0,3.01559595,"US",2.191,2.576,1,6239.7,7265,175126,95463,77416,3295,135,44.8,3564,0.46,1335,214,73.19,78,1473,39.4,715416,756463,2005,2429,28.9387755102041,41.4705882352941,34.3425160697888,30.4408,33.7759523279127,5,6,40,7,3.34685542957177,2.48123980424144,-0.899703122221697
